day,campaign_network,adgroup_network,creative_network,cost,network_impressions,network_clicks,installs,iniciou cadastro_events,registro completo sms_events,usuário tem benefício inss_events,usuário é servidor govba_events,usuário é servidor govsp_events,usuário é servidor prefsp_events,usuário é servidor govmt_events,usuário é lead_events,aceitar oferta_events,proposta paga_events,primeira compra_events,primeira compra govba_events,primeira compra govsp_events,primeira compra govmt_events,primeira compra prefsp_events,primeira compra inss_events,recompra_events,all_revenue
2023-08-11,govsp_geral_gg_app_conversao_cold_and,aberto_0_0_0_sp_18-65_auto-gg_servsp,0_0_0_0_0_0_0_0_0_0,"48,6371",5154,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,inss_geral_tk_app_conversao_cold_and,aberto_auto_0_0_br_18-65_auto_inss,story_vid_cn_video-adri_comparacao_v5_app_usar-app_original_c-leg,"47,62",5894,300,155,195,44,10,0,0,0,0,10,6,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"44,65",1692,16,4,4,2,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,"311,1"
2023-08-13,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"39,89",1394,71,22,18,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,aberto_0_0_0_sp_22-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"33,18",1536,10,5,4,4,0,0,1,0,0,1,1,2,0,0,1,0,0,0,1,"247,18"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_1_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"31,2",2444,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_2_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"31,15",2188,13,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govmt_geral_fb_app_conversao_cold_and,lal_pm-govmt_2k_1_br_18-65_auto_serv,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"30,2",1633,20,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_2_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"30,19",2567,7,3,4,3,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_1_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"30,14",2402,8,2,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_1_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"29,78",2463,12,5,5,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_2_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"29,02",2477,11,3,3,2,1,0,2,1,0,4,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_1_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"28,75",2213,11,4,5,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lal_pm-govsp-tomador_42k_2_sp_22-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"28,7",2322,12,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,inss_geral_tk_app_conversao_cold_and,aberto_auto_0_0_br_18-65_auto_inss,story_vid_cn_video-adri_comparacao_v5_app_usar-app_original_c-leg,"27,82",8430,1830,29,37,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_lead,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"27,8",7316,261,14,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_cold_and,lista_base-govsp-higienizada-tomadores_152k_0_br_18-65_auto_servsp,institucional_carrossel_port_red-de-parcelas_diminuir-parcelas_v1_app_baixe-o-app_0_0,"27,63",1276,8,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_390k_1_br_25-65_auto_lead,story_vid_cn_video-adri_40min-cai-na-conta_v1_app_usar-app_original_s-leg,"27,08",1007,28,12,15,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_lead,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"27,01",3932,577,16,18,9,1,0,0,2,2,5,0,1,0,0,1,0,0,0,0,"261,79"
2023-08-10,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_40min-cai-na-conta_v1_app_usar-app_original_s-leg,"27,0",1554,32,18,31,12,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_fb_app_conversao_hot_and,engajamento_envolvimento-pageview_33k_0_sp_21-64_auto_lead,story_vid_baixe-app_vid-marcela_dica-credito-sem-margem_v2_app_baixe-o-app_original_0,"26,21",1343,17,4,4,3,1,0,2,0,0,3,1,1,0,0,0,0,0,0,1,"329,89"
2023-08-11,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_15-bancos_v2_app_usar-app_original_s-leg,"25,93",728,23,11,11,6,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,govsp_geral_fb_app_conversao_cold_and,lista_pm-govsp-tomador_42k_0_br_18-65_auto_servsp,story_vid_baixe-app_solano_indicacao-capitao-pm_v4_app_compare-taxa_original_c-leg,"25,72",978,7,4,3,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,govsp_geral_gg_app_conversao_cold_and,aberto_0_0_0_sp_18-65_auto-gg_servsp,0_0_0_0_0_0_0_0_0_0,"25,6263",3139,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,govsp_geral_fb_app_conversao_cold_and,aberto_0_0_0_sp_22-65_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"25,05",1450,13,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,aberto_0_0_0_sp_22-65_auto_servsp,story_vid_troco_sr-leal_troco_v2_app_baixe-app_trilha_c-leg,"24,76",1719,13,5,6,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_serv,story_vid_cn_video-adri_comparacao_v5_app_usar-app_original_c-leg,"24,55",4111,138,23,21,8,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,inss_geral_fb_app_conversao_cold_and,aberto_0_0_0_br_45-65_auto_lead,institucional_carrossel_cb_margem-tomada_margem-tomada_v1_app_peca-cb_0_0,"24,5",684,25,9,5,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,prefsp_geral_fb_app_conversao_cold_and,lal_base-govsp-higienizada-tomadores_152k_1_br_18-65_auto_serv,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"24,43",1125,15,12,16,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,inss_geral_fb_app_conversao_cold_and,aberto_0_0_0_br_45-65_auto_lead,institucional_carrossel_cb_margem-tomada_margem-tomada_v1_app_peca-cb_0_0,"24,19",636,26,13,18,8,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,"0,0"
2023-08-12,govsp_geral_fb_app_conversao_cold_and,aberto_0_0_0_sp_22-65_auto_servsp,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"23,99",1482,17,5,7,3,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-13,all_geral_tk_app_conversao_cold_and,aberto_0_0_0_sp-ba-mt_18-65_auto_lead,story_vid_troco_sr-leal_troco_v1_app_baixe-app_trilha_c-leg,"23,88",4318,59,17,18,8,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-10,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_15-bancos_v2_app_usar-app_original_s-leg,"23,34",778,25,18,19,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,all_geral_tk_app_conversao_cold_and,lista_servidores-estados_184k_0_br_18-55_auto_lead,story_vid_cn_video-adri_menor-taxa_v2_app_usar-app_original_s-leg,"23,11",2972,8,3,4,3,0,0,2,0,0,2,2,2,0,0,2,0,0,0,0,"1107,2"
2023-08-10,inss_geral_fb_app_conversao_cold_and,aberto_0_0_0_br_45-65_auto_lead,institucional_carrossel_cb_margem-tomada_margem-tomada_v1_app_peca-cb_0_0,"22,87",486,21,8,11,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"0,0"
2023-08-11,inss_geral_fb_app_conversao_cold_and,lal_macica-inss-renda-2k_600k_1_br_25-65_auto_lead,story_vid_cn_video-adri_possibilidades_v3_app_usar-app_original_s-leg,"22,53",744,20,14,18,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"0,0"
